Comparing files film.yuv and FILMDEC.YUV
00341453: 93 92
003418AF: 96 95
003418D9: CB CC
00341B05: 8F 90
00342057: 92 91
00342FAF: 95 94
00343067: 92 91
0034384F: 90 8F
00343C1B: 8C 8B
00343C23: 8D 8C
00343C5F: 90 8F
00343F2B: 8D 8C
00343F9D: 93 92
0034441F: 8B 8A
0034445F: 8F 8E
00344C33: 8C 8B
0034501F: 8A 89
003450B6: B9 BA
0034527F: 8F 8E
00345F0B: 88 87
00346783: A8 A7
00346AD6: CA C9
0034702F: 88 87
00347047: 89 88
00347360: 89 8A
00347577: A1 A2
0034796E: 90 91
00348372: BF C0
00348485: AB AC
00348843: 85 86
00348BC6: A6 A5
00348CE4: C2 C1
00349480: A1 A2
0034980F: 84 83
003498CD: BB BC
00349F19: 85 84
0034A5FA: B1 B2
0034A681: 96 97
0034A777: 97 96
0034A939: BF C0
0034AE1E: BC BD
0034B456: 95 96
0034B51A: 96 97
0034B8CE: B7 B8
0034BBAC: C0 C1
0034C07E: 96 95
0034C128: 95 96
0034C3A3: C0 C1
0034C81B: 93 92
0034D6E0: AF AE
0034D88F: A6 A7
0034DA3D: 92 93
0034DCA1: A8 A9
0034DEE9: B8 B7
0034E4DA: AD AC
0034E4F9: AF AE
0034E577: AF B0
0034EE98: A1 A2
0034F786: 9C 9D
0034FB20: AC AD
0034FF98: 9D 9E
0035046B: AC AD
00350B80: AC AB
00350B98: AA A9
00350BA0: A9 A8
003510FB: A0 9F
003514FC: AB AC
003516C0: A7 A8
00351B60: B1 B0
0035279C: AF AE
003528AF: AD AE
00352F30: B6 B5
00352F50: B4 B3
00353BFA: A4 A5
00353DA6: B1 B2
0035478F: B3 B2
003555CC: 81 80
00355F7F: B2 B3
00356060: B4 B3
00356A9B: AD AE
00356AD3: B1 B0
00356AEB: C1 C2
00356E64: B2 B1
003573AA: A9 AA
003575BF: 84 83
003575F9: AE AD
00357C44: B3 B2
00357E81: BD BE
00357F0F: B6 B7
00357F3F: B3 B4
00358820: B4 B3
003589BC: A8 A9
00358F2F: B2 B3
003593FC: BC BD
0035996F: 87 88
00359E20: B2 B1
0035A213: B1 B2
0035AB44: 97 96
0035B009: 8F 90
0035B3C9: B2 B1
0035C0ED: 85 84
0035C13A: 8F 8E
0035C8F9: 9C 9B
0035C935: 95 94
0035C9AE: 9E 9F
0035CB1C: 96 95
0035CE46: A0 A1
0035CF00: 9B 9A
0035CF73: 91 92
0035D095: 8C 8D
0035D18E: 90 8F
0035D2FF: 9E 9F
0035D56C: 91 90
0035DB1F: AD AE
0035DB44: 93 94
0035DF02: AA A9
0035E2B6: A9 AA
0035E2D0: 99 9A
0035E5E7: A4 A3
0035F793: 91 92
00361880: 96 95
003629D6: 91 90
00362B05: 7C 7D
00363322: 74 73
00364E7C: 59 58
00364F12: 52 53
003678CC: 5B 5A
0036882D: 4E 4F
00369319: 4D 4E
0036B358: 5B 5C
0036B7B0: 48 49
0037016B: A3 A2
00370440: A6 A5
00370490: 9D 9E
0037058F: 9E 9D
0037059F: A3 A2
0037078B: 9E 9D
003707CF: A1 A2
00370DB6: A2 A1
00370E75: A1 A2
00371062: 9F A0
00371187: 9B 9C
003712A8: 9E 9D
003713A0: A1 A0
00371447: A1 A2
0037165F: A0 9F
003723C3: 9E 9D
003723D4: 9D 9C
003727DF: 9D 9C
00372BAB: 9E 9D
00373090: 9E 9D
003736DF: A1 A2
00373735: A2 A1
003738B6: A0 A1
00373F7F: 9B 9C
00373F8F: 9A 9B
00373F94: 99 9A
00373FA5: 9E 9D
00374357: 99 9A
003747BF: 99 9A
00374A13: 93 94
00374E4F: 91 90
00374E73: 92 91
00374FAF: 9B 9A
003751AC: 9B 9A
00375A87: 8F 8E
00375BBF: 9B 9C
00375CBF: 9C 9D
00375EE0: 84 83
00376033: 8E 8D
00376443: 90 8F
00376BBB: A1 A0
00377013: 8B 8A
00377403: 89 88
00377813: 8A 89
00377A4A: 91 92
00377C13: 89 88
003782DD: 8B 8A
00378627: 8A 89
00378AD6: 98 99
00378E36: 88 89
00378EC7: 96 95
00378F4C: 91 92
00378F9F: 8D 8C
00379038: 88 89
00379059: 96 95
003790D9: 9E 9F
003796C6: 9D 9E
003799DE: C0 BF
00379F27: 87 86
0037A702: 86 87
0037A78B: CF D0
0037AC34: 9E 9F
0037ACB5: BE BD
0037AF06: 8A 89
0037B137: CB CA
0037B364: C1 C2
0037B407: BD BE
0037B954: BE BD
0037C04E: B4 B5
0037C540: C3 C4
0037C9BE: B7 B8
0037CC3F: C8 C9
0037D265: BC BD
0037DB76: A2 A1
0037DE36: A8 A7
0037E057: 88 89
0037E19D: 9F A0
0037E5B0: A2 A1
0037E86A: 9A 99
0037ECD4: 8F 90
0037F81A: 86 87
0037FC54: 92 93
0037FE1A: B2 B1
0038044E: A3 A4
00380C95: 9B 9A
00380E49: 96 97
00381220: 8F 90
00381680: 8E 8D
003816AB: 89 8A
003818CF: 84 85
00381F66: 93 92
00382551: 99 9A
00382B87: 93 94
00382C87: 94 95
00382DF4: 80 81
00382FC4: 92 93
00382FD3: 92 93
003831D7: 92 93
003833E2: 9A 9B
0038360C: AB AC
00383913: AE AD
003839B6: 9A 99
00383A26: AA AB
00383C2F: AA AB
00383D9F: A0 9F
00383E8A: A1 A2
00383ED9: 9F 9E
003844FC: 80 81
003847B6: A1 A0
003847BE: 9B 9A
00385027: B2 B1
0038539C: A0 A1
0038577F: 9E 9F
003857AF: A3 A2
003857FF: 81 80
00385933: AC AB
00385C77: 9D 9C
00385F6F: 9D 9E
00386880: 9A 99
00386B24: A7 A8
00386BB0: A8 A7
00387032: AA A9
00387513: AA A9
0038773E: A4 A3
00387913: AB AA
00387B59: 9B 9C
00388006: AF AE
00388078: 96 95
00388152: A0 9F
003884D3: 9D 9C
0038861B: AC AB
003888A2: 92 93
00388A50: A0 A1
00388F79: 96 95
003891D7: A1 A2
0038929F: 91 90
00389836: A9 A8
00389B86: 92 93
0038A9E5: 70 6F
0038AEBA: B1 B2
0038CCE8: 9B 9C
0038CD62: 90 8F
0038E2BE: 84 83
0038E8A7: 7B 7A
0038F66D: 7F 80
00390516: 28 29
00390523: 1A 1B
003905FD: 58 59
003907FF: 22 23
0039150E: 2B 2A
003A00CB: BD BE
003A0476: AD AE
003A0903: 9A 9B
003A10BA: 93 92
003A2003: A1 A0
003A2BAE: 9B 9A
003A30B0: 91 90
003A34D7: 95 96
003B029C: 83 84
003B0309: 69 6A
003B032D: 84 83
003B0829: 82 81
003B2097: 7B 7C
003B21E2: 8E 8F
003B21EC: 8B 8C
003B23D0: 8C 8B
003B29D6: 7B 7C
003B3132: 7F 80
003B3226: 86 85
003B3342: 8E 8F
003B3583: 7F 7E
003B35C8: 7F 7E
003B35E3: 80 7F
003C2F30: 25 26
003C3000: 29 2A
003C4577: 24 25
003C47DB: 20 21
003C54E8: 23 22
003C5AD8: 22 21
003C7934: 37 36
003C8705: 44 45
003C9DE8: 28 27
003CAE9B: 3B 3A
003CB425: 4D 4C
003CB924: 53 52
003CC309: 36 37
003CC4F3: 2C 2D
003CC924: 3F 3E
003CF005: 2F 2E
003D07CF: 8F 90
003D0873: 90 8F
003D10C8: 8F 8E
003D1863: 90 8F
003D1D8D: 8F 90
003D1FDC: 8D 8E
003D20C0: 8F 8E
003D27D4: 8D 8C
003D27DC: 8C 8D
003D2870: 8F 8E
003D2CCF: 8F 90
003D2F8F: 8F 90
003D2FA0: 8F 90
003D3165: 8E 8F
003D36B7: 8F 8E
003D3761: 8E 8F
003D39B7: 8D 8E
003D3AB0: 8D 8E
003D3B53: 8F 8E
003D3F4F: 8F 8E
003D3FBB: 8D 8C
003D3FBF: 8E 8D
003D3FC4: 8F 90
003D437F: 8E 8F
003D43A7: 8F 8E
003D4CA0: 90 91
003D4F27: 8D 8E
003D4F2B: 8D 8C
003D4F5F: 8E 8F
003D52D8: 8E 8F
003D52F3: 8D 8E
003D538B: 8F 8E
003D53E3: 8E 8D
003D58B0: 90 8F
003D5B13: 90 8F
003D5B8B: 90 8F
003D5D7E: 8E 8F
003D5F22: 91 90
003D5F6F: 8F 8E
003D6163: 8D 8E
003D6482: 8F 90
003D686F: 8F 8E
003D6964: 8D 8E
003D6ABD: 8D 8E
003D6BB6: 8E 8D
003D6D61: 8E 8F
003D6DBA: 8D 8E
003D6F9F: 91 90
003D6FB0: 90 8F
003D73D1: 8F 90
003D780F: 8F 90
003D7AB6: 8F 90
003D8299: 8F 90
003D839E: 8F 90
003D8565: 90 8F
003D88A3: 90 8F
003D8907: 91 92
003D8BC4: 8F 90
003D8C92: 8F 90
003D8D20: 8F 90
003D8F4F: 91 90
003D8FFA: 90 8F
003D96F3: 91 90
003D97BB: 90 91
003D982C: 91 92
003D9B5B: 8F 8E
003D9D9A: 8F 90
003D9DDE: 8E 8F
003D9F8B: 90 8F
003D9FE7: 8F 90
003DA1FE: 8E 8F
003DA393: 91 90
003DA6FA: 8E 8D
003DA78F: 90 91
003DA7BA: 8F 90
003DA93B: 90 91
003DAA6B: 90 8F
003DAB10: 92 91
003DAFAF: 90 8F
003DAFC0: 90 8F
003DAFEF: 8E 8F
003DB1F1: 8D 8E
003DB33F: 91 90
003DB8A3: 90 8F
003DB9E2: 90 8F
003DBF1C: 92 93
003DC2C0: 90 8F
003DC6A3: 8F 8E
003DC6A7: 90 8F
003DC6BF: 8E 8D
003DC71A: 93 92
003DC7E7: 91 90
003DCB5D: 8E 8F
003DCC3F: 91 92
003DCF70: 90 8F
003DCF80: 8F 8E
003DD043: 91 92
003DD0C4: 90 91
003DD40F: 94 95
003DD476: 90 91
003DD524: 96 95
003DD7BF: 90 8F
003DDBAB: 8F 8E
003DDBFF: 91 92
003DE08B: 90 91
003DE4A0: 90 91
003DE60A: 94 95
003DE713: 96 95
003DE830: 95 94
003DE980: 90 91
003DE9D9: 90 8F
003DEB53: 93 92
003DEB90: 90 91
003DEC8C: 90 91
003DEC90: 91 92
003DF33B: 95 94
003DF343: 96 95
003DF350: 95 94
003DF393: 93 92
003DF3E3: 91 90
003DF7CF: 91 90
003DF860: 94 93
003DFBEB: 92 91
003DFC9C: 93 92
003DFF17: 95 96
003DFFAB: 92 91
003E0B23: 82 81
003E0B43: 82 81
003E0B46: 82 81
003E1D8D: 81 82
003E21D7: 84 83
003E28C3: 83 82
003E30D0: 83 82
003E3761: 81 82
003E38A3: 83 82
003E3A91: 83 82
003E3AB0: 81 82
003E465B: 82 81
003E48E3: 83 82
003E497E: 83 82
003E4F8F: 82 81
003E4FDF: 84 83
003E5132: 80 81
003E5154: 81 80
003E52F3: 82 83
003E5B78: 81 80
003E5D7E: 80 81
003E5F33: 81 80
003E5F3A: 80 7F
003E5F44: 7F 80
003E6163: 80 81
003E6482: 81 82
003E682F: 80 7F
003E6964: 81 82
003E6B55: 80 81
003E6BB0: 82 83
003E6C0F: 7F 7E
003E6D61: 81 82
003E710C: 7E 7F
003E73D1: 81 82
003E7413: 7E 7D
003E75C3: 83 82
003E7723: 80 7F
003E79FA: 81 82
003E7AB6: 81 82
003E7B97: 82 83
003E7CFA: 81 82
003E8003: 7D 7C
003E8299: 81 82
003E839E: 81 82
003E84C7: 83 82
003E84D0: 83 82
003E8713: 7F 7E
003E8B00: 7D 7C
003E8C23: 7F 7E
003E8C5F: 80 81
003E8C60: 7F 80
003E8C92: 81 82
003E8FBF: 80 81
003E99C8: 83 82
003E9A5A: 7F 7E
003E9D9A: 81 82
003E9DBA: 83 82
003E9F10: 7E 7D
003E9F17: 7E 7D
003EA1FE: 81 82
003EA6A3: 82 83
003EA7BA: 81 82
003EA990: 83 82
003EAB0B: 81 80
003EABE1: 83 82
003EADCF: 84 83
003EAF7B: 81 80
003EB4F4: 83 82
003EB773: 81 80
003EB86C: 80 81
003EB9E1: 85 84
003EBA09: 82 81
003EBCA0: 83 82
003EC0B3: 83 82
003EC323: 82 81
003EC3CB: 84 83
003EC7C3: 84 83
003EC8BB: 83 82
003ECB06: 83 82
003ECB13: 82 81
003ECB50: 82 81
003ECC0F: 82 83
003ECEE3: 85 84
003ECF6F: 81 80
003ED050: 82 81
003ED0B3: 84 83
003ED607: 85 84
003ED82F: 83 84
003EDB36: 83 82
003EDF6F: 82 81
003EE40B: 85 84
003EE5D2: 83 82
003EE68F: 84 83
003EE87C: 83 84
003EE972: 84 83
003EEB7B: 84 83
003EF8F8: 82 81
003EF9B4: 85 84
003EFF20: 85 84
003F00BE: 3C 3B
003F1409: 2B 2C
003F14ED: 40 3F
003F1732: 2C 2B
003F2A3A: 2E 2D
003F32C4: 31 32
003F3308: 2C 2D
003F346A: 2B 2A
003F3729: 2D 2E
003F407F: 2C 2B
003F4FE0: 33 32
003F4FF7: 34 35
003F62D5: 2D 2E
003F65F7: 32 31
003F6B27: 2D 2E
003F7C70: 2F 2E
003F92FC: 86 85
003F98FB: 2F 30
003FB872: 34 33
003FCBCB: 32 33
003FDF1D: 3A 3B
003FE838: 3C 3D
003FF6F0: 3A 3B
003FF72F: 27 26
00400367: 91 92
004003E3: 92 91
004007A3: 92 91
00400823: 94 93
00400CA3: 92 91
00400EF9: 91 90
00400F5C: 92 93
00400FAF: 92 91
00400FB3: 93 92
00400FE3: 93 92
004010FF: 93 92
004014D0: 93 94
0040164A: 92 91
00401B5D: 90 91
00401B7B: 93 92
00401CC7: 93 94
00401CCD: 93 92
00401E4E: 90 91
00401FB0: 92 93
004022F7: 94 95
004024C6: 95 94
00402511: 93 94
004027AC: 91 92
004027BC: 93 94
00402F6F: 93 92
00402FC0: 92 93
00402FCF: 92 93
00402FFF: 95 94
004030CF: 91 92
004038FE: 93 92
00403BBF: 92 91
00403BF7: 93 94
00403E7D: 92 93
00403F4F: 95 94
0040439B: 93 92
004043A3: 94 93
004043B0: 93 92
004043BB: 93 92
004043C3: 94 93
004044B5: 92 93
004047BB: 94 93
0040487F: 94 95
00404CEB: 93 94
004050CF: 94 93
00405799: 93 94
004059EE: 94 95
00405BDB: 93 92
00405F90: 96 95
004061F4: 93 92
00406330: 98 97
004063A3: 96 95
004063DB: 94 93
00406410: 99 9A
004064B2: 94 95
004067B4: 93 94
00406BCF: 93 92
00406BD3: 94 93
00406FBF: 94 95
004070EF: 94 95
004071F0: 94 93
004073D3: 95 94
00407B73: 99 98
00407BF4: 95 96
00407F50: 99 98
004083B0: 98 97
004087E0: 96 95
00408F30: 9A 99
00408FE8: 95 96
00409B73: 9A 99
00409FA0: 9A 99
0040A373: 9B 9A
0040A703: 9B 9A
0040AB6B: 9B 9A
0040B42B: 9A 99
0040B82F: 9A 99
0040CF1B: 9A 99
0040CF2F: 9A 99
0040D853: 9B 9A
0040E00C: 90 91
0040E117: 95 94
0040E60E: 92 91
0040EF40: 9A 9B
0040F44B: 9B 9A
0040F53D: 97 98
0040F741: 99 98
0040F7D0: 9B 9A
0040FB36: 92 91
0040FE0E: 92 93
004100B0: 84 83
00410376: 84 85
00410863: 85 84
004108D0: 83 82
00410905: 88 87
00410BC0: 84 83
004113C0: 85 84
00411430: 85 86
004117B3: 85 84
00411B2B: 87 86
00411E4E: 86 87
00412FD2: 85 84
004132B3: 87 86
004137A3: 87 86
00413C37: 88 89
00413E7D: 87 88
00413EF3: 84 83
00413FC0: 86 85
004144B5: 86 87
00414EFF: 85 84
00415337: 8B 8A
004153B6: 88 87
00415799: 88 89
00415B33: 8C 8B
00415F60: 8B 8A
00415F80: 8B 8A
00415F90: 8A 89
00415FA0: 89 88
00415FD0: 87 86
004164B2: 88 89
004167B4: 88 89
00416BA0: 8A 89
00416ECB: 8A 89
00416FF0: 87 86
004177BF: 89 8A
004178BF: 8A 8B
00417BD0: 89 88
00417FC0: 8B 8A
0041832F: 90 8F
00418B16: 92 91
00418B77: 8E 8D
00418FE8: 8A 8B
00419377: 8F 90
00419477: 90 91
004197C0: 8D 8C
00419B00: 94 93
00419F04: 94 93
0041A3FF: 8B 8A
0041AB28: 95 94
0041ABAB: 92 91
0041B0B0: 92 91
0041BBE0: 8F 8E
0041BCAF: 92 93
0041BF00: 98 97
0041BF20: 97 96
0041BF30: 96 95
0041BFF0: 8E 8D
0041C39F: 93 94
0041C49F: 94 95
0041CB8B: 96 95
0041CB90: 96 95
0041CCEF: 90 91
0041CCF0: 8F 90
0041D328: 99 98
0041D3A8: 95 94
0041D7E0: 92 91
0041DB30: 9A 99
0041DB3B: 9A 99
0041DF90: 97 96
0041E5EA: 94 95
0041E7D4: 96 95
0041EBEA: 96 95
0041ECF4: 95 96
0041EFAF: 99 98
0041F36C: 9B 9A
0041F450: 9C 9D
0041FBD0: 99 98
0041FFA7: 9B 9C
004207BA: 3E 3D
00420A47: 28 27
004210AE: 28 27
004220E3: 25 26
00423805: 27 28
00425E8E: 33 34
00426850: 27 28
00426B50: 29 28
00427673: 5A 59
00427698: 29 2A
00428D28: 4F 4E
00429428: 29 2A
00429822: 29 2A
00429B12: 57 58
0042BE68: 2E 2F
0042D8A3: 3E 3F
0042E58B: 4F 50
0042E58C: 4E 4D
0042EF5F: 5A 5B
0042FCD1: 6F 6E
00430147: 96 97
0043044F: 99 98
004304A1: 97 96
00430816: A6 A7
00430B91: 9A 9B
004316CB: 95 94
00431880: 94 93
004318FF: 9B 9A
00431EE7: 95 96
004321E8: 95 96
00432383: 95 94
004326FD: 96 97
00433397: 95 94
00434691: 98 97
004357F3: 96 95
00436657: 95 94
00436B5F: 96 97
004373A7: 96 95
00437606: 94 93
004376EB: 96 95
00437BA3: 97 96
00437BDD: 93 94
00437C58: 96 95
00437CF3: 95 94
00437F10: B2 B3
00437F9B: 96 95
004383DC: 95 94
004383E4: 92 93
00438490: 96 97
004384F3: 94 93
00438CF2: 95 94
00438D10: C9 CA
0043A22F: 98 99
0043C863: 99 98
0043CCA8: 96 97
0043CFDF: 97 96
0043D909: B3 B2
0043DBD0: 97 98
0043DF6F: 98 99
0043DFBF: 98 97
0043E1EB: 99 98
0043E23D: 9B 9A
0043E4DC: 99 9A
0043E4E3: 99 9A
0043E777: 99 98
0043E87F: 9A 9B
0043E89F: 9C 9D
0043E96F: 9A 9B
0043EC8C: 9C 9D
0043ECDC: 9B 9C
0043F139: A2 A1
0043F35B: 9C 9B
0043F8EB: 9A 9B
0043F9DA: 9C 9B
0043FBCF: 9D 9C
0043FC5B: 9C 9B
0043FF9E: 99 9A
0044003D: 7D 7E
00440C3F: 80 7F
00441F66: 7B 7C
00442104: 84 85
004422CF: 7E 7D
00444030: 7E 7D
004450A8: 7E 7D
00446606: 85 86
00446900: A5 A6
00447329: 7E 7D
004474D3: 7E 7D
00447C22: 94 95
00448A0D: B0 B1
00449D77: 7F 7E
00449D9F: 7E 7D
0044A005: A4 A3
0044A03C: 97 98
0044BF87: 7E 7D
0044BF90: 7E 7D
0044C0DB: 7F 80
0044C169: 80 7F
0044CB87: 7F 80
0044CBB7: 81 80
0044D044: 8A 8B
0044D0A8: 80 7F
0044D3D3: 81 80
0044DDE5: 7D 7E
0044DF08: 8A 8B
0044E064: 81 80
0044E090: 80 7F
0044E0D0: 7F 7E
0044E27B: 80 81
0044E6A3: 7E 7D
0044E6B0: 7F 7E
0044E6E7: 7C 7B
0044EADA: 7B 7A
0044EC58: 81 80
0044EC6C: 80 7F
0044F5EB: 79 78
0044F648: 81 80
0044F650: 80 7F
0044F7DB: 77 76
0044FFB3: 7B 7A
00450A97: 87 86
00452E07: 87 86
00453016: 81 80
00453766: 71 70
004542FB: 5A 5B
004548FF: 4F 50
00456213: 54 53
00458309: 4F 4E
0045984B: 45 46
0045A5C8: 33 32
0045B207: 2A 2B
0045DC4C: 96 97
0045DF5F: 91 90
0045E30D: 5A 5B
0045E500: 56 55
0045E763: 71 70
0045ED3D: 52 51
0046004F: 9A 99
00460880: 9B 9A
00460C0D: 9F A0
0046106B: 9B 9C
0046277B: A4 A3
004627B3: A7 A6
00462B13: A0 9F
00462B6F: A3 A2
00462BAB: A7 A6
004633AB: A8 A7
00463883: A5 A4
0046388B: A6 A5
004638A3: A7 A6
004638AB: A8 A7
004638BF: A9 A8
004638FF: AA A9
00463C63: A2 A1
00463C77: A3 A2
00463C83: A4 A3
00463C8B: A5 A4
00463CAB: A7 A6
00463F03: 9A 99
0046409F: A5 A4
00464A04: 93 92
00464AAF: A2 A1
004653B0: A0 A1
004653BF: A0 A1
0046544F: 9B 9A
004656AB: 9F 9E
004657E3: 9F A0
0046586F: 9B 9A
00465B5B: 9B 9A
00465F5B: 9C 9B
00466043: A1 A2
00466307: 88 87
0046634A: 9C 9B
004666E0: 9C 9B
00466719: 9C 9B
004667CF: 9C 9D
0046680C: 8B 8C
0046689F: 9B 9A
004668BF: 9C 9B
0046691E: 9E 9F
0046693D: A3 A2
00466AD4: 9B 9A
00466C5F: A0 A1
00466D47: A4 A5
00467038: A9 AA
0046705F: A1 A2
00467539: A7 A8
004680BF: 99 98
00468207: 9C 9D
00468619: 94 93
0046873E: 9D 9C
00468B11: A1 A0
00469182: 9B 9A
004694DB: 98 97
0046957A: A6 A7
0046A09F: 97 96
0046B7EA: 97 96
0046BAEF: 97 98
0046C186: BE BD
0046C9C8: CD CC
0046CA89: B3 B2
0046CF0F: AC AB
0046DF0B: A8 A9
0046E9AB: B7 B8
0046EC3B: B8 B7
0046F0BD: 92 91
0046F0C3: 91 92
0046F722: BA B9
0046FBA3: 92 93
0047008F: 79 78
00470314: 83 82
004703C3: 89 88
004704F3: 81 80
0047068B: 77 76
00470753: 7F 80
0047084F: 82 83
00470BBC: 75 74
00470C91: 75 74
00470FF4: 73 72
00470FFC: 74 73
00471026: 8E 8F
00471052: 7D 7E
004710AC: 76 75
0047147F: 78 77
0047175F: 7A 7B
004717EC: 73 74
00471BAB: 75 74
0047227F: 77 78
004723F4: 77 78
00472948: 80 7F
00472AA2: 7A 79
00472F6F: 7F 80
00473567: 86 85
0047388F: 86 87
00473A5C: 89 8A
004740D3: 87 88
004747BB: 8B 8A
004748DF: 8C 8D
00474BE0: 8D 8C
00474F34: 9C 9D
00475324: 97 96
004753E0: 8E 8D
0047588F: 8C 8B
00475934: 95 96
00475B1D: 9D 9C
004760BF: 8C 8B
004760F3: 8F 8E
004766FB: 8F 8E
004768BF: 8B 8A
004768CF: 8D 8C
00476C50: 93 94
00477365: 90 91
0047766E: 8A 8B
00477854: 99 9A
00477E36: 92 93
00477F1F: 8A 8B
0047808F: 89 88
004780C7: 8A 89
004780D7: 8B 8A
00478506: 98 97
00478969: 92 93
00478D46: 95 94
0047914F: 95 96
00479405: A9 A8
0047AB7B: 99 98
0047AC05: 82 83
0047ADD0: 87 88
0047B156: 8D 8E
0047B161: 90 8F
0047C14C: 94 93
0047C4FC: 93 92
0047CAE3: A0 A1
0047CD28: 79 7A
0047D80E: 81 80
0047E545: 7F 7E
0047F297: 97 98
0047FBCB: 7D 7C
0047FCB0: 7B 7C
0047FE9F: 7C 7B
00481E7A: 1D 1C
004823D1: 16 17
00482EE4: 2D 2E
0048326D: 17 18
0049002F: C6 C7
0049008D: 92 93
004901DB: 89 8A
00490483: 91 92
004905C3: 8A 89
004905F7: 93 92
004906B7: 89 88
0049082F: C4 C5
00490CEF: 8F 90
0049146B: 89 8A
004914A6: 90 91
004914C6: 8C 8B
004916C6: 8A 89
00491773: 88 87
00491CCB: 89 88
00491E1E: 92 93
00491FD0: 89 8A
00492BB6: 8A 8B
00492D3A: 93 92
004930BE: 90 8F
0049312A: 93 92
00493686: 8C 8B
004A03EF: 7D 7E
004A04CB: 7E 7F
004A04EF: 7C 7D
004A1A13: 7C 7D
004A1B70: 7D 7E
004A1FC3: 7E 7D
004A2058: 7D 7C
004A234F: 7C 7D
004A2C1D: 7D 7C
004A2C70: 7C 7D
004A2F6B: 7D 7C
004A3165: 7D 7C
004A3195: 7E 7D
004A31C5: 7F 7E
004A341F: 7E 7F
004A346F: 7E 7F
004A349B: 7F 80
004A3510: 80 7F
004B0351: 1F 20
004B2161: 20 1F
004B5F1F: 24 23
004B6F11: 22 23
004B720B: 23 22
004B7744: 26 27
004B9BD5: 22 23
004BBF6A: 28 29
004BD243: 2F 2E
004BE330: 39 38
004BFC2D: 4B 4C
004BFE59: 45 44
004C08E3: 91 90
004C1039: 8E 8F
004C18C3: 91 90
004C1D38: 8D 8E
004C20F3: 92 91
004C2F93: 90 8F
004C33CA: 90 91
004C3793: 91 90
004C3F60: 8F 90
004C3FEF: 92 91
004C3FF3: 93 92
004C404C: 8F 8E
004C405C: 8E 8F
004C5B3E: 8F 8E
004C5C49: 8E 8D
004C604C: 8E 8F
004C605A: 8F 8E
004C6322: 8E 8F
004C6340: 90 8F
004C636D: 8E 8F
004C642B: 8F 8E
004C682F: 8F 8E
004C6B47: 8E 8F
004C6F4F: 8F 8E
004C6F5A: 8F 8E
004C70C3: 90 91
004C7386: 8F 8E
004C738D: 8D 8E
004C7393: 8F 8E
004C7B93: 90 8F
004C7C77: 90 8F
004C7D36: 8E 8F
004C831D: 8F 90
004C8332: 8D 8E
004C840F: 8F 8E
004C8477: 8F 8E
004C8632: 8D 8E
004C88FF: 90 8F
004C8905: 8E 8D
004C890B: 8E 8D
004C8A58: 8F 8E
004C8F37: 8F 8E
004C92E7: 8E 8F
004C96F7: 8E 8D
004C9777: 8F 8E
004C98A3: 91 90
004C9B83: 91 90
004C9CDC: 8F 8E
004C9E6E: 8E 8F
004C9EF5: 8B 8C
004C9FEE: 8C 8D
004C9FF3: 8C 8D
004CA348: 8F 90
004CA707: 8F 8E
004CA777: 90 8F
004CAB0A: 8F 90
004CAB4B: 8F 8E
004CABF4: 8D 8E
004CAC08: 8F 90
004CADD1: 8F 90
004CB1DD: 8D 8E
004CB1E8: 8D 8E
004CB242: 8F 8E
004CB50A: 8E 8F
004CB713: 90 8F
004CB9F7: 8C 8B
004CBA42: 8E 8F
004CBDDE: 8E 8F
004CBF5F: 8F 90
004CC2FF: 8E 8F
004CC793: 92 91
004CC88B: 90 91
004CD0C0: 92 91
004CD32F: 91 90
004CD833: 91 92
004CDF6F: 91 92
004CE8C8: 91 90
004CEF3F: 94 93
004CEF8A: 92 91
004CF03B: 93 92
004CF06F: 91 92
004CF386: 94 93
004CF398: 92 91
004CF506: 90 91
004CF82C: 91 90
004CF92B: 91 92
004CFA0F: 92 91
004D013B: 81 80
004D037B: 82 83
004D053B: 84 83
004D07FF: 83 82
004D0B8C: 83 84
004D0F03: 83 82
004D1039: 83 84
004D1077: 83 82
004D144B: 83 82
004D1D38: 81 82
004D1E98: 81 82
004D1F74: 83 82
004D33CA: 81 82
004D362C: 83 82
004D3893: 83 82
004D4555: 83 82
004D4773: 83 82
004D584F: 82 81
004D5B0F: 84 83
004D636D: 81 82
004D6E41: 83 82
004D6E49: 81 82
004D738D: 81 82
004D77F3: 83 82
004D7C2B: 82 83
004D7D36: 80 81
004D831D: 81 82
004D87B3: 83 82
004D8904: 82 83
004D8967: 81 82
004D89F5: 82 83
004D8BF2: 82 83
004D9783: 83 82
004D9B2D: 84 83
004D9DE9: 84 83
004D9E6E: 81 82
004DA064: 81 82
004DA3A7: 82 81
004DA425: 81 82
004DA466: 81 82
004DAB0A: 81 82
004DABF4: 83 84
004DADD1: 82 83
004DAF03: 82 81
004DB073: 82 81
004DB07B: 83 82
004DB1DD: 82 83
004DB1E8: 83 84
004DB34A: 81 82
004DB520: 83 82
004DBA42: 81 82
004DBDDE: 84 85
004DC061: 83 82
004DC282: 83 82
004DC2FF: 83 84
004DC518: 81 82
004DC52B: 83 82
004DCA0F: 84 83
004DCF8B: 83 82
004DD0A0: 83 82
004DD423: 82 81
004DD783: 83 82
004DD965: 81 82
004DDF0F: 82 83
004DDF30: 81 80
004DDF8B: 85 84
004DE00F: 81 82
004DE643: 82 81
004DE6F3: 84 83
004DE77F: 83 82
004DEA3F: 80 7F
