Comparing files film.yuv and FILMDEC.YUV
0008CE07: B8 B7
0008CE0B: B9 B8
0008CF93: C4 C3
0008CFC0: C3 C2
0008D4E0: C3 C4
0008D907: C0 BF
0008DF6C: C4 C5
0008E33B: C6 C5
0008E470: C6 C7
0008EF93: C6 C5
0008F318: C5 C6
0008F3FF: C3 C4
0008F7D0: C3 C2
0008F85A: C4 C5
0008F98F: C5 C4
0008FD8F: C8 C7
0008FDB7: C8 C7
0008FF2F: C9 CA
0008FF4F: C9 CA
00090B32: 68 69
00094A1C: 59 58
00099733: 18 19
00099A40: 1D 1E
0009A33B: 17 18
0009A4EA: 5A 59
0009A56F: 5A 59
0009B49C: 49 48
0009EF78: 42 43
000A00D4: 7C 7D
000A0160: 77 78
000A041B: 7A 7B
000A06B8: 77 78
000A0B87: 77 76
000A0BAF: 78 77
000A0C1B: 7D 7E
000A0F50: 77 76
000A136B: 79 78
000A1B67: 7A 79
000A1C50: 7A 7B
000A1F67: 7B 7A
000A2336: 7F 7E
000A233A: 7E 7D
000A284A: 7E 7F
000A29EB: 82 81
000A3393: 81 80
000A339B: 82 81
000A380F: 80 7F
000A385F: 7E 7D
000A3F10: 7F 80
000A3F18: 80 81
000A40AF: 82 81
000A4620: 7C 7B
000A469B: 80 7F
000A4FAF: 80 7F
000A58D3: 82 81
000A608F: 7E 7D
000A6964: 78 79
000A7333: 71 70
000A749F: 7E 7D
000A7FC3: 7F 80
000A8427: 71 72
000A8F6B: 74 73
000A9000: 7D 7E
000A9397: 77 76
000A9E8F: 76 75
000AA348: 8E 8F
000AA851: 8C 8D
000AB037: 87 86
000AB59D: 81 82
000ABE69: 8A 89
000AC306: 8A 89
000AC598: 8B 8C
000AD57F: 8E 8F
000AD758: 88 89
000AD78F: 8C 8D
000ADC28: 94 93
000ADDAE: 8F 90
000ADEB6: 9A 9B
000AE026: A6 A7
000AE087: A3 A4
000AE777: B0 B1
000AE917: 92 93
000AF03D: AA AB
000AF064: B1 B0
000AF135: AA AB
000AF1AB: B7 B6
000AF3D3: A1 A0
000AFAEF: 92 91
000AFCA5: 8C 8D
000AFCD2: 97 98
000AFDA7: 8D 8C
000AFE4B: 89 88
000B0601: CC CD
000B1060: CE CD
000B2ACF: CA C9
000B2F7F: CC CD
000B307F: CB CC
000B3CEB: C5 C4
000B3CF0: C5 C4
000B3F2F: CC CD
000B3F3F: CA CB
000B4A10: CA C9
000B4B2B: C7 C8
000B4C2B: C6 C7
000B4E10: C7 C6
000B500B: C6 C5
000B5050: C5 C4
000B5080: C3 C2
000B54AC: C0 BF
000B5690: C1 C0
000B577F: C2 C3
000B58AC: BF BE
000B5A88: C0 BF
000B6084: C0 BF
000B60F0: BE BD
000B60F7: BE BD
000B64E3: BD BC
000B738C: C0 BF
000B7B94: C0 BF
000B7C9F: BF C0
000B7F70: C2 C1
000B8004: C4 C5
000B83B3: BE BF
000B8616: C2 C3
000B88AF: C0 C1
000B8BB6: C0 BF
000B8BD8: BD BC
000B93F7: BE BD
000BA051: 7C 7D
000BB058: 7C 7B
000BC09E: 89 8A
000BC297: 81 82
000BC89A: 7E 7D
000BCFDF: C0 BF
000BD527: 7F 7E
000BD93C: 7D 7C
000BDA0F: 7F 7E
000BDB3A: 80 7F
000BDCB7: 81 82
000BDD9A: 79 78
000BDEA1: 7D 7E
000BE5C7: A0 9F
000BE884: 89 88
000BEE1C: 95 96
000BEE29: 8B 8A
000BEE8C: 62 63
000BF00B: 92 93
000BF066: 58 57
000BF2A9: 8A 89
000BF560: 84 85
000BF850: 7B 7C
000C0E92: 5A 59
000D00AE: 99 9A
000D0544: 8D 8E
000D09AF: 99 9A
000D210D: 9E 9F
000D268B: 99 98
000D28C2: A4 A5
000D2E1C: A5 A4
000D3004: 9E 9D
000D30F9: 95 96
000D319D: 9D 9E
000D33EA: 98 99
000D34F3: 9B 9C
000D3649: 98 99
000D36EC: 99 9A
000E0043: 7F 80
000E0203: 72 71
000E02B1: 7F 80
000E0A17: 7F 7E
000E0F5D: 80 81
000E2032: 7A 7B
000E30EC: 87 88
000E3263: 92 91
000E3457: 93 94
000E351C: 8F 90
000E3533: 91 90
000E353B: 92 91
000E3550: 93 94
000E3563: 95 94
000F0604: 28 27
000F0A0A: 29 28
000F24F7: 26 27
000F27EA: 27 26
000F30ED: 24 25
000F38D6: 27 26
000F6FDF: 25 26
000FB4D6: 2C 2B
000FBF6C: 43 44
000FE708: 36 37
000FE7FD: 32 31
000FE808: 36 35
000FF882: 40 41
000FF966: 40 3F
00102040: 92 91
001020FC: 8F 8E
001030D0: 90 8F
001030DF: 8F 8E
001038C0: 90 8F
00104BCF: 8D 8E
00105F38: 91 90
001065CA: 8E 8F
00106C2F: 8F 90
00107FA7: 91 90
001083A7: 90 91
001090A0: 90 8F
0010972F: 90 8F
0010A33B: 8E 8D
0010A543: 91 90
0010A824: 90 8F
0010A942: 90 91
0010AF45: 8C 8D
0010B146: 8E 8D
0010B71C: 90 8F
0010B72C: 8F 90
0010BDFA: 8F 90
0010BF6F: 8C 8D
0010C76F: 8B 8C
0010CB4A: 8A 89
0010D02F: 8F 90
0010D163: 89 8A
0010DCFB: 91 90
0010DF36: 8F 8E
0010DF3A: 8E 8D
0010E71C: 90 91
0010EAF5: 8F 8E
0010EB4F: 8E 8F
0010EB73: 8B 8A
0010ED63: 8C 8B
0010EE2F: 91 92
0010EF53: 8E 8D
0010EF6A: 8C 8B
0010EF9B: 91 90
0010F094: 90 91
0010F3F1: 8F 90
0010F567: 8E 8F
0010F73F: 8E 8F
0010F78B: 8F 8E
0010F869: 90 91
0010F873: 8E 8F
0010FC3F: 8F 90
001106C4: 85 84
